0, 0, Header, 0, 1, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude No. 7"
1, 0, Copyright_t, "Copyright © 1997 by Bernd Krueger http://www.piano-midi.de"
1, 0, Text_t, "Frediric Chopin"
1, 0, Text_t, "Andantino"
1, 0, Text_t, "Fertiggestellt am 6.5.97\012"
1, 0, Text_t, "Korrekturen am 27.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 3.12.98\012"
1, 0, Text_t, "Update am 9.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 9.6.2010\012"
1, 0, Text_t, "Update am 20.2.2014\012"
1, 0, Text_t, "Dauer: 0:39 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 591424
1, 0, Program_c, 0, 0
1, 0, Control_c, 0, 7, 100
1, 0, Control_c, 0, 10, 64
1, 0, Control_c, 0, 64, 0
1, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
1, 0, Program_c, 0, 0
1, 0, Control_c, 0, 7, 100
1, 0, Control_c, 0, 10, 64
1, 0, Control_c, 0, 7, 127
1, 0, Control_c, 0, 10, 64
1, 0, Control_c, 0, 7, 127
1, 0, Control_c, 0, 10, 64
1, 956, Tempo, 644745
1, 956, Control_c, 0, 91, 127
1, 956, Control_c, 0, 91, 127
1, 960, Note_on_c, 0, 64, 52
1, 1440, Note_on_c, 0, 64, 0
1, 1440, Note_on_c, 0, 73, 58
1, 1440, Note_on_c, 0, 40, 31
1, 1490, Control_c, 0, 64, 127
1, 1800, Note_on_c, 0, 74, 43
1, 1810, Note_on_c, 0, 73, 0
1, 1920, Tempo, 657895
1, 1920, Note_on_c, 0, 74, 0
1, 1920, Note_on_c, 0, 40, 0
1, 1920, Note_on_c, 0, 62, 32
1, 1920, Note_on_c, 0, 68, 32
1, 1920, Note_on_c, 0, 71, 38
1, 1920, Note_on_c, 0, 64, 34
1, 1920, Note_on_c, 0, 52, 28
1, 1935, Control_c, 0, 64, 0
1, 2097, Control_c, 0, 64, 127
1, 2400, Tempo, 676590
